date,month,time,desc,type,year,event,dejeuner,entretien,deplacement,voyage
2022-09-22,09,Matin,Déplacement à Saint-Nazaire consacré aux énergies renouvelables.,Déplacement,2022,True,False,False,True,False
2022-09-23,09,13h00,Déjeuner avec la Première ministre.,Déjeuner,2022,True,True,False,False,False
2022-09-23,09,18h30,Conseil de défense et de sécurité nationale.,Conseil de défense,2022,True,False,False,False,False
2022-09-26,09,10h00,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-09-26,09,13h00,Déjeuner avec la Première ministre.,Déjeuner,2022,True,True,False,False,False
2022-09-26,09,15h00,"Entretien avec M. Allain BOUGRAIN-DUBOURG, Président de la Ligue pour la protection des oiseaux.",Entretien,2022,True,False,True,False,False
2022-09-26,09,16h00,"Entretien avec M. Willy SCHRAEN, Président de la Fédération nationale des chasseurs.",Entretien,2022,True,False,True,False,False
2022-09-26,09,17h30,"Entretien avec M. Nikol PACHINIAN, Premier ministre d’Arménie.",Entretien,2022,True,False,True,False,False
2022-09-26,09,19h30,"Entretien avec M. Gilles KEPEL, politologue.",Entretien,2022,True,False,True,False,False
2022-09-27,09,11h00,"Entretien avec Mgr Eric de MOULINS-BEAUFORT, Président de la Conférence des évêques de France.",Entretien,2022,True,False,True,False,False
2022-09-27,09,12h00,"Entretien avec M. Sébastien LECORNU, ministre des Armées.",Entretien,2022,True,False,True,False,False
2022-09-27,09,15h30,"Entretien téléphonique avec M. Ilham ALIEV, Président de la République d’Azerbaïdjan.",Entretien,2022,True,False,True,False,False
2022-09-27,09,16h30,"Entretien avec M. Thierry BURKHARD, Chef d’Etat-Major des Armées.",Entretien,2022,True,False,True,False,False
2022-09-28,09,14h30,Conseil de défense et de sécurité nationale.,Conseil de défense,2022,True,False,False,False,False
2022-09-28,09,18h30,"Entretien avec M. Gérard LARCHER, Président du Sénat.",Entretien,2022,True,False,True,False,False
2022-09-29,09,10h45,Réunion du Conseil Olympique et Paralympique.,Réunion,2022,True,False,False,False,False
2022-09-30,09,09h00,Inauguration du complexe culturel du Foirail à Pau.,Inauguration,2022,True,False,False,False,False
2022-10-02,10,12h45,"Entretien téléphonique avec Volodymyr Zelensky, Président de la République d'Ukraine.",Entretien,2022,True,False,True,False,False
2022-10-03,10,11h30,"Entretien avec M. Umaro Sissoco EMBALO, Président de la République de Guinée-Bissau.",Entretien,2022,True,False,True,False,False
2022-10-03,10,13h00,Déjeuner avec la Première ministre.,Déjeuner,2022,True,True,False,False,False
2022-10-03,10,19h15,"Dîner de travail avec M. Olaf SCHOLZ, Chancelier de la République fédérale d'Allemagne à Berlin.",Dîner,2022,True,False,False,False,False
2022-10-04,10,13h00,"Déjeuner de travail avec Mme Ursula VON DER LEYEN, Présidente de la Commission européenne.",Déjeuner,2022,True,True,False,False,False
2022-10-04,10,15h00,"Visioconférence avec Mme Ursula VON DER LEYEN, Présidente de la Commission européenne, M. Charles MICHEL, Président du Conseil européen et M. Olaf SCHOLZ, Chancelier de la République fédérale d’Allemagne.",Réunion,2022,True,False,False,False,False
2022-10-04,10,16h30,"Entretien avec M. Gérald DARMANIN, ministre de l’Intérieur et des Outre-mer.",Entretien,2022,True,False,True,False,False
2022-10-04,10,19h05,"Entretien avec M. Filippo GRANDI, le Haut-Commissaire des Nations unies aux réfugiés.",Entretien,2022,True,False,True,False,False
2022-10-05,10,10h00,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-10-05,10,17h00,"Entretien avec M. Moussa FAKI, Président de la Commission de l’Union africaine.",Entretien,2022,True,False,True,False,False
2022-10-06,10,09h15,"Entretien téléphonique avec M. Anthony ALBANESE, Premier ministre d’Australie.",Entretien,2022,True,False,True,False,False
2022-10-06,10,10h00,Ouverture du Forum annuel Bpifrance Inno Génération (BIG) à l'AccorHotels Arena de Paris.,Discours,2022,True,False,False,False,False
2022-10-06,10,Après-midi,Sommet de la communauté politique européenne à Prague en République tchèque.,Sommet,2022,True,False,False,False,False
2022-10-07,10,Toute la journée,Sommet informel des chefs d’État et de gouvernement de l’Union européenne à Prague en République tchèque.,Sommet,2022,True,False,False,False,False
2022-10-09,10,12h00,"Entretien téléphonique avec M. Abdelmadjid TEBBOUNE, Président de la République algérienne démocratique et populaire.",Entretien,2022,True,False,True,False,False
2022-10-10,10,Après-midi,Déplacement en Mayenne consacré au retour des services publics dans les territoires.,Déplacement,2022,True,False,False,True,False
2022-10-10,10,20h30,Conseil restreint de défense et de sécurité nationale.,Conseil de défense,2022,True,False,False,False,False
2022-10-11,10,12h30,Déjeuner avec la Première ministre.,Déjeuner,2022,True,True,False,False,False
2022-10-11,10,14h00,Visioconférence des leaders du G7.,Réunion,2022,True,False,False,False,False
2022-10-11,10,18h00,"Entretien avec M. Andy JASSY, directeur général d’Amazon.",Entretien,2022,True,False,True,False,False
2022-10-12,10,10h00,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-10-12,10,12h00,Remise de décoration individuelle.,Cérémonie officielle,2022,True,False,False,False,False
2022-10-13,10,12h00,Cérémonie de remise de lettres de créance des ambassadeurs en France.,Cérémonie officielle,2022,True,False,False,False,False
2022-10-13,10,15h00,"Entretien avec M. Nana AKUFO-ADDO, Président de la République du Ghana.",Entretien,2022,True,False,True,False,False
2022-10-13,10,16h00,"Entretien avec Monseigneur Jean-Marc AVELINE, Archevêque de Marseille.",Entretien,2022,True,False,True,False,False
2022-10-13,10,17h30,"Entretien avec M. Claudio GALDERISI, Président de l’Institut Français d’Islamologie.",Entretien,2022,True,False,True,False,False
2022-10-13,10,19h00,"Dîner avec M. Mario DRAGHI, Président du Conseil des ministres de la République italienne.",Dîner,2022,True,False,False,False,False
2022-10-14,10,16h00,Conseil de défense et de sécurité nationale,Conseil de défense,2022,True,False,False,False,False
2022-10-15,10,12h00,"Entretiens téléphoniques successifs avec le Premier ministre israélien, M. Yaïr LAPID ; le Président de la République du Liban, le Général Michel AOUN ; et le Premier ministre libanais, M. Najib MIKATI.",Entretien,2022,True,False,True,False,False
2022-10-17,10,Matin,Déplacement au Mondial de l'Auto.,Déplacement,2022,True,False,False,True,False
2022-10-18,10,11h00,Prise d’armes à l’Hôtel national des Invalides.,Cérémonie officielle,2022,True,False,False,False,False
2022-10-18,10,15h30,"Entretien téléphonique avec la Première ministre du Royaume-Uni, Mme Liz TRUSS.",Entretien,2022,True,False,True,False,False
2022-10-19,10,10h00,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-10-19,10,15h00,Commémorations du centenaire de la Grande Mosquée de Paris.,Déplacement,2022,True,False,False,True,False
2022-10-20,10,Toute la journée,Conseil européen à Bruxelles.,Sommet,2022,True,False,False,False,False
2022-10-21,10,Matin,Conseil européen à Bruxelles.,Sommet,2022,True,False,False,False,False
2022-10-23,10,Après-midi,Déplacement en République italienne et au Vatican.,Voyage officiel,2022,True,False,False,False,True
2022-10-23,10,17h30,Ouverture de la conférence internationale « Le cri de la paix » organisée par la communauté de Sant’Egidio à Rome.,Discours,2022,True,False,False,False,False
2022-10-23,10,20h00,"Entretien avec Mme Giorgia MELONI, Présidente du Conseil des ministres de la République italienne à Rome.",Entretien,2022,True,False,True,False,False
2022-10-24,10,Toute la journée,Déplacement en République italienne et au Vatican.,Voyage officiel,2022,True,False,False,False,True
2022-10-24,10,10h30,Audience avec Sa Sainteté le Pape François au Vatican.,Entretien,2022,True,False,True,False,False
2022-10-25,10,09h45,"Entretien avec Mme Elisabeth BORNE, Première ministre.",Entretien,2022,True,False,True,False,False
2022-10-25,10,10h45,Réunion de travail avec la Première ministre et les ministres concernés sur les retraites.,Réunion,2022,True,False,False,False,False
2022-10-25,10,12h00,Réunion de travail avec la Première ministre et les ministres concernés sur le Service national universel.,Réunion,2022,True,False,False,False,False
2022-10-25,10,18h30,Remise de décorations collective.,Cérémonie officielle,2022,True,False,False,False,False
2022-10-26,10,10h00,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-10-26,10,12h30,"Entretien avec M. Olaf SCHOLZ, Chancelier de la République fédérale d’Allemagne.",Entretien,2022,True,False,True,False,False
2022-10-26,10,20h15,Emission l'Événement sur France 2.,Interview,2022,True,False,False,False,False
2022-10-27,10,Toute la journée,Déplacement sur le thème des armées et de l’industrie d’armement à Bourges.,Déplacement,2022,True,False,False,True,False
2022-10-28,10,10h00,"Entretien téléphonique avec le Premier ministre du Royaume-Uni, M. Rishi Sunak.",Entretien,2022,True,False,True,False,False
2022-10-28,10,11h00,Remerciements aux acteurs mobilisés contre les feux de forêt.,Discours,2022,True,False,False,False,False
2022-11-01,11,11h00,"Entretien téléphonique avec M. Volodymyr ZELENSKY, Président de la République d'Ukraine.",Entretien,2022,True,False,True,False,False
